num_thread,collaspe,size,cputime,walltime,cache_opt
1,1,1200,8.06698,8.07755,1
2,1,1200,8.13736,4.0848,1
4,1,1200,16.2321,4.18094,1
6,1,1200,16.3708,4.18385,1
8,1,1200,16.3725,4.12145,1
10,1,1200,16.3852,4.12147,1
12,1,1200,16.4232,4.12323,1
14,1,1200,16.4175,4.13807,1
16,1,1200,16.4657,4.12997,1
18,1,1200,16.4771,4.13823,1
20,1,1200,16.4787,4.13247,1
22,1,1200,16.4809,4.13407,1
24,1,1200,16.4799,4.15336,1
26,1,1200,16.4906,4.13402,1
28,1,1200,16.4834,4.1299,1
30,1,1200,16.4823,4.13613,1
30,1,1200,16.4906,4.13218,1
40,1,1200,16.5029,4.13873,1
50,1,1200,16.5043,4.13837,1
60,1,1200,16.506,4.13578,1
70,1,1200,16.5038,4.13644,1
80,1,1200,16.5125,4.1387,1
90,1,1200,16.5128,4.13779,1
100,1,1200,16.5195,4.13852,1
110,1,1200,16.5062,4.13619,1
120,1,1200,16.5121,4.136,1
130,1,1200,16.4977,4.15582,1
140,1,1200,16.5216,4.14099,1
150,1,1200,16.4967,4.13539,1
160,1,1200,16.5121,4.13982,1
170,1,1200,16.5021,4.1431,1
180,1,1200,16.4911,4.13301,1
190,1,1200,16.4824,4.12864,1
200,1,1200,16.5051,4.13676,1
210,1,1200,16.4888,4.13396,1
220,1,1200,16.502,4.13617,1
230,1,1200,16.4929,4.13455,1
240,1,1200,16.4994,4.13466,1
250,1,1200,16.5084,4.139,1
260,1,1200,16.495,4.13716,1
270,1,1200,16.5016,4.1373,1
280,1,1200,16.4947,4.14599,1
290,1,1200,16.4811,4.13267,1
300,1,1200,16.4904,4.1361,1
310,1,1200,16.4812,4.13391,1
320,1,1200,16.4983,4.13607,1
330,1,1200,16.512,4.13733,1
340,1,1200,16.4898,4.1331,1
350,1,1200,16.4916,4.13647,1
360,1,1200,16.4886,4.13333,1
370,1,1200,16.5004,4.13484,1
380,1,1200,16.4886,4.1343,1
390,1,1200,16.4603,4.1307,1
400,1,1200,16.509,4.14023,1
410,1,1200,16.5071,4.13548,1
420,1,1200,16.4758,4.13856,1
430,1,1200,16.4849,4.14222,1
440,1,1200,16.4883,4.13279,1
450,1,1200,16.5012,4.13901,1
460,1,1200,16.4917,4.13337,1
470,1,1200,16.4884,4.1371,1
480,1,1200,16.4974,4.14401,1
490,1,1200,16.4948,4.13733,1
500,1,1200,16.4855,4.1351,1
510,1,1200,16.4912,4.137,1
520,1,1200,16.5119,4.13978,1
